List,itemNr,F1_NP,F2_visual,Grouped,Predicate,alternative,linguisticContext,Color1,Color2,Shape1,Shape2,Number1,Number2
5,911,+filler,second,Shape,grouped,,The four triangles are grouped.,blue,orange,circle,triangle,4,4
5,912,-filler,first,Color,grouped,,The four grey objects are grouped.,grey,brown,heart,star,4,4
5,913,+filler,second,Shape,grouped,,The three triangles are grouped.,orange,blue,star,triangle,5,3
5,914,-filler,first,Color,grouped,,The four grey objects are grouped.,grey,orange,circle,heart,3,4
5,915,+filler,second,Shape,grouped,,The five stars are grouped.,brown,blue,triangle,star,4,5
5,916,-filler,first,Color,grouped,,The eight blue objects are grouped.,blue,brown,heart,circle,5,3
5,917,+filler,second,Shape,grouped,,The five circles are grouped.,orange,grey,star,circle,4,5
5,918,-filler,first,Color,grouped,,The seven blue objects are grouped.,blue,grey,heart,triangle,3,3
5,919,+filler,second,Shape,grouped,,The three triangles are grouped.,brown,grey,circle,triangle,4,3
5,920,-filler,first,Color,grouped,,The five blue objects are grouped.,blue,orange,star,heart,3,5
5,921,+filler,second,Shape,grouped,,The three triangles are grouped.,grey,blue,circle,triangle,4,3
5,922,-filler,first,Color,grouped,,The seven orange objects are grouped.,orange,brown,triangle,heart,3,5
5,923,+filler,second,Shape,grouped,,The five circles are grouped.,grey,orange,star,circle,4,5
5,924,-filler,first,Color,grouped,,The five brown objects are grouped.,brown,blue,heart,triangle,5,5
6,907,+filler,second,Shape,grouped,,The five stars are grouped.,brown,orange,circle,star,5,5
6,908,-filler,first,Color,grouped,,The six grey objects are grouped.,grey,blue,triangle,star,5,4
6,909,+filler,second,Shape,grouped,,The four stars are grouped.,blue,grey,circle,star,4,4
6,910,-filler,first,Color,grouped,,The seven orange objects are grouped.,orange,brown,star,circle,4,5
6,911,+filler,second,Shape,grouped,,The four triangles are grouped.,blue,orange,circle,triangle,4,4
6,912,-filler,first,Color,grouped,,The five grey objects are grouped.,grey,brown,heart,star,4,4
6,913,+filler,second,Shape,grouped,,The three triangles are grouped.,orange,blue,star,triangle,5,3
6,914,-filler,first,Color,grouped,,The five grey objects are grouped.,grey,orange,circle,heart,3,4
6,915,+filler,second,Shape,grouped,,The five stars are grouped.,brown,blue,triangle,star,4,5
6,916,-filler,first,Color,grouped,,The eight blue objects are grouped.,blue,brown,heart,circle,5,3
6,917,+filler,second,Shape,grouped,,The five circles are grouped.,orange,grey,star,circle,4,5
6,918,-filler,first,Color,grouped,,The three blue objects are grouped.,blue,grey,heart,triangle,3,3
6,919,+filler,second,Shape,grouped,,The three triangles are grouped.,brown,grey,circle,triangle,4,3
6,920,-filler,first,Color,grouped,,The seven blue objects are grouped.,blue,orange,star,heart,3,5
6,921,+filler,second,Shape,grouped,,The three triangles are grouped.,grey,blue,circle,triangle,4,3
6,922,-filler,first,Color,grouped,,The four orange objects are grouped.,orange,brown,triangle,heart,3,5
6,923,+filler,second,Shape,grouped,,The five circles are grouped.,grey,orange,star,circle,4,5
6,924,-filler,first,Color,grouped,,The eight brown objects are grouped.,brown,blue,heart,triangle,5,5
