List,itemNr,F1_NP,F2_visual,Grouped,Predicate,alternative,linguisticContext,Color1,Color2,Shape1,Shape2,Number1,Number2,Color3,color_entropy,spatial_entropy,is_filler
2,918,some,notGrouped,Color,grouped,no,Some of the stars are orange.,grey,grey,stars,,4,5,,0.0,2.4193819456463714,yes_false
2,919,all,notGrouped,Shape,grouped,no,All of the crosses are green.,red,red,crosses,,5,5,,0.0,2.5032583347756456,yes_false
2,920,some,notGrouped,Color,grouped,no,Some of the triangles are brown.,yellow,yellow,triangles,,3,5,,0.0,2.521640636343319,yes_false
2,921,all,notGrouped,Shape,grouped,no,All of the triangles are green.,blue,blue,triangles,,4,4,,0.0,2.9477027792200907,yes_false
2,922,some,notGrouped,Color,grouped,no,Some of the diamonds are red.,grey,grey,diamonds,,5,3,,0.0,1.8423709931771086,yes_false
2,923,all,notGrouped,Shape,grouped,no,All of the triangles are purple.,brown,brown,triangles,,3,4,,0.0,2.6416041678685938,yes_false
2,924,some,notGrouped,Color,grouped,no,Some of the crosses are grey.,green,green,crosses,,4,5,,0.0,2.5,yes_false
2,801,conjunction,colorGrouped,Shape,grouped,no,The green crosses and the red crosses are grouped.,green,red,crosses,,3,4,,1.0,3.1556390622295662,no
2,802,definiteP,notGrouped,Color,grouped,no,The triangles are grouped.,purple,green,triangles,,4,3,,0.9182958340544894,2.9477027792200907,no
2,803,conjunction,randomGrouped,Shape,grouped,no,The green squares and the red squares are grouped.,green,red,squares,,5,4,,0.9819407868640977,3.5368867237421675,no
3,901,all,notGrouped,Shape,grouped,no,All of the circles are brown.,brown,brown,circles,,5,5,,0.0,2.5032583347756456,yes_true
3,902,some,notGrouped,Color,grouped,no,Some of the circles are brown.,brown,yellow,circles,,3,5,,1.0,1.7924812503605783,yes_true
3,903,all,notGrouped,Shape,grouped,no,All of the circles are green.,green,green,circles,,4,4,,0.0,2.521640636343319,yes_true
3,904,some,notGrouped,Color,grouped,no,Some of the diamonds are brown.,brown,blue,diamonds,,5,3,,0.9852281360342515,2.128085278891394,yes_true
3,905,all,notGrouped,Shape,grouped,no,All of the diamonds are yellow.,yellow,yellow,diamonds,,3,4,,0.0,2.4464393446710155,yes_true
3,906,some,notGrouped,Color,grouped,no,Some of the triangles are brown.,brown,red,triangles,,4,5,,0.8631205685666311,2.1280852788913944,yes_true
3,907,all,notGrouped,Shape,grouped,no,All of the crosses are blue.,blue,blue,crosses,,5,5,,0.0,2.4056390622295667,yes_true
3,908,some,notGrouped,Color,grouped,no,Some of the squares are green.,green,blue,squares,,3,5,,0.9910760598382222,2.9477027792200907,yes_true
3,909,all,notGrouped,Shape,grouped,no,All of the stars are green.,green,green,stars,,4,4,,0.0,2.251629167387823,yes_true
3,910,some,notGrouped,Color,grouped,no,Some of the crosses are purple.,purple,blue,crosses,,5,3,,0.9910760598382222,2.7254805569978684,yes_true
3,911,all,notGrouped,Shape,grouped,no,All of the stars are yellow.,yellow,yellow,stars,,3,4,,0.0,2.2359263506290326,yes_true
3,912,some,notGrouped,Color,grouped,no,Some of the circles are purple.,purple,red,circles,,4,5,,0.9852281360342515,2.521640636343319,yes_true
3,913,all,notGrouped,Shape,grouped,no,All of the circles are blue.,green,green,circles,,5,5,,0.0,2.2359263506290334,yes_false
3,914,some,notGrouped,Color,grouped,no,Some of the stars are green.,brown,brown,stars,,3,5,,0.0,1.7924812503605783,yes_false
3,915,all,notGrouped,Shape,grouped,no,All of the diamonds are grey.,purple,purple,diamonds,,4,4,,0.0,2.0,yes_false
3,916,some,notGrouped,Color,grouped,no,Some of the circles are red.,green,green,circles,,5,3,,0.0,2.1280852788913944,yes_false
3,917,all,notGrouped,Shape,grouped,no,All of the squares are brown.,red,red,squares,,3,4,,0.0,2.9219280948873627,yes_false
3,918,some,notGrouped,Color,grouped,no,Some of the squares are red.,brown,brown,squares,,4,5,,0.0,2.75,yes_false
3,919,all,notGrouped,Shape,grouped,no,All of the crosses are grey.,orange,orange,crosses,,5,5,,0.0,2.2810361125534233,yes_false
3,920,some,notGrouped,Color,grouped,no,Some of the squares are yellow.,brown,brown,squares,,3,5,,0.0,2.25,yes_false
3,921,all,notGrouped,Shape,grouped,no,All of the circles are orange.,grey,grey,circles,,4,4,,0.0,3.121928094887363,yes_false
3,922,some,notGrouped,Color,grouped,no,Some of the crosses are yellow.,orange,orange,crosses,,5,3,,0.0,2.1280852788913944,yes_false
3,923,all,notGrouped,Shape,grouped,no,All of the crosses are orange.,green,green,crosses,,3,4,,0.0,2.251629167387823,yes_false
3,924,some,notGrouped,Color,grouped,no,Some of the circles are purple.,red,red,circles,,4,5,,0.0,2.25,yes_false
3,801,conjunction,colorGrouped,Shape,grouped,no,The brown squares and the green squares are grouped.,brown,green,squares,,3,4,,1.0,3.484183719779188,no
3,802,definiteP,notGrouped,Color,grouped,no,The squares are grouped.,yellow,blue,squares,,4,3,,0.9182958340544894,2.251629167387823,no
3,803,conjunction,randomGrouped,Shape,grouped,no,The brown crosses and the red crosses are grouped.,brown,red,crosses,,5,4,,0.9957274520849256,3.0269868333592873,no
4,901,all,notGrouped,Shape,grouped,no,All of the circles are green.,green,green,circles,,5,5,,0.0,2.251629167387823,yes_true
4,902,some,notGrouped,Color,grouped,no,Some of the diamonds are grey.,grey,yellow,diamonds,,3,5,,0.0,1.7924812503605783,yes_true
4,903,all,notGrouped,Shape,grouped,no,All of the squares are brown.,brown,brown,squares,,4,4,,0.0,2.251629167387823,yes_true
4,904,some,notGrouped,Color,grouped,no,Some of the crosses are orange.,orange,blue,crosses,,5,3,,0.8631205685666311,2.521640636343319,yes_true
4,905,all,notGrouped,Shape,grouped,no,All of the crosses are red.,red,red,crosses,,3,4,,0.0,2.113283334294875,yes_true
4,906,some,notGrouped,Color,grouped,no,Some of the stars are yellow.,yellow,blue,stars,,4,5,,1.0,2.5,yes_true
4,907,all,notGrouped,Shape,grouped,no,All of the squares are grey.,grey,grey,squares,,5,5,,0.0,2.521640636343319,yes_true
4,908,some,notGrouped,Color,grouped,no,Some of the crosses are red.,red,green,crosses,,3,5,,1.0,2.7219280948873625,yes_true
4,909,all,notGrouped,Shape,grouped,no,All of the squares are blue.,blue,blue,squares,,4,4,,0.0,2.4193819456463714,yes_true
4,910,some,notGrouped,Color,grouped,no,Some of the triangles are blue.,blue,yellow,triangles,,5,3,,0.9852281360342515,2.235926350629033,yes_true
4,911,all,notGrouped,Shape,grouped,no,All of the crosses are brown.,brown,brown,crosses,,3,4,,0.0,1.9182958340544896,yes_true
4,912,some,notGrouped,Color,grouped,no,Some of the crosses are green.,green,yellow,crosses,,4,5,,0.6500224216483541,1.9182958340544896,yes_true
4,913,all,notGrouped,Shape,grouped,no,All of the triangles are orange.,red,red,triangles,,5,5,,0.0,2.9219280948873627,yes_false
4,914,some,notGrouped,Color,grouped,no,Some of the circles are green.,red,red,circles,,3,5,,0.0,2.75,yes_false
4,915,all,notGrouped,Shape,grouped,no,All of the stars are yellow.,orange,orange,stars,,4,4,,0.0,1.7924812503605783,yes_false
4,916,some,notGrouped,Color,grouped,no,Some of the squares are brown.,orange,orange,squares,,5,3,,0.0,2.128085278891394,yes_false
4,917,all,notGrouped,Shape,grouped,no,All of the diamonds are yellow.,orange,orange,diamonds,,3,4,,0.0,3.0,yes_false
4,918,some,notGrouped,Color,grouped,no,Some of the circles are purple.,brown,brown,circles,,4,5,,0.0,1.9182958340544896,yes_false
4,919,all,notGrouped,Shape,grouped,no,All of the crosses are blue.,yellow,yellow,crosses,,5,5,,0.0,2.1556390622295662,yes_false
4,920,some,notGrouped,Color,grouped,no,Some of the circles are brown.,green,green,circles,,3,5,,0.0,1.9182958340544896,yes_false
4,921,all,notGrouped,Shape,grouped,no,All of the diamonds are blue.,red,red,diamonds,,4,4,,0.0,2.75,yes_false
4,922,some,notGrouped,Color,grouped,no,Some of the stars are purple.,green,green,stars,,5,3,,0.0,2.584962500721156,yes_false
4,923,all,notGrouped,Shape,grouped,no,All of the diamonds are green.,orange,orange,diamonds,,3,4,,0.0,2.2516291673878226,yes_false
4,924,some,notGrouped,Color,grouped,no,Some of the triangles are yellow.,red,red,triangles,,4,5,,0.0,2.2359263506290334,yes_false
4,801,conjunction,colorGrouped,Shape,grouped,no,The grey stars and the red stars are grouped.,grey,red,stars,,3,4,,1.0,2.855388542207534,no
4,802,definiteP,notGrouped,Color,grouped,no,The squares are grouped.,yellow,grey,squares,,4,3,,0.954434002924965,2.5,no
4,803,conjunction,randomGrouped,Shape,grouped,no,The yellow crosses and the purple crosses are grouped.,yellow,purple,crosses,,5,4,,1.0,3.084962500721156,no
5,901,all,notGrouped,Shape,grouped,no,All of the triangles are red.,red,red,triangles,,5,5,,0.0,2.521640636343318,yes_true
5,902,some,notGrouped,Color,grouped,no,Some of the circles are red.,red,yellow,circles,,3,5,,0.9910760598382222,2.7254805569978684,yes_true
5,903,all,notGrouped,Shape,grouped,no,All of the stars are brown.,brown,brown,stars,,4,4,,0.0,2.1556390622295662,yes_true
5,904,some,notGrouped,Color,grouped,no,Some of the circles are orange.,orange,red,circles,,5,3,,0.9182958340544894,2.251629167387823,yes_true
5,905,all,notGrouped,Shape,grouped,no,All of the triangles are orange.,orange,orange,triangles,,3,4,,0.0,2.725480556997868,yes_true
5,906,some,notGrouped,Color,grouped,no,Some of the crosses are yellow.,yellow,green,crosses,,4,5,,0.954434002924965,2.5,yes_true
5,907,all,notGrouped,Shape,grouped,no,All of the crosses are brown.,brown,brown,crosses,,5,5,,0.0,2.128085278891394,yes_true
5,908,some,notGrouped,Color,grouped,no,Some of the circles are brown.,brown,yellow,circles,,3,5,,0.9910760598382222,2.4193819456463714,yes_true
5,909,all,notGrouped,Shape,grouped,no,All of the circles are orange.,orange,orange,circles,,4,4,,0.0,2.7219280948873625,yes_true
5,910,some,notGrouped,Color,grouped,no,Some of the squares are blue.,blue,yellow,squares,,5,3,,0.7642045065086203,2.7254805569978684,yes_true
5,911,all,notGrouped,Shape,grouped,no,All of the triangles are blue.,blue,blue,triangles,,3,4,,0.0,3.121928094887362,yes_true
5,912,some,notGrouped,Color,grouped,no,Some of the crosses are orange.,orange,red,crosses,,4,5,,0.9910760598382222,2.7254805569978684,yes_true
5,913,all,notGrouped,Shape,grouped,no,All of the diamonds are grey.,yellow,yellow,diamonds,,5,5,,0.0,2.521640636343319,yes_false
5,914,some,notGrouped,Color,grouped,no,Some of the circles are brown.,yellow,yellow,circles,,3,5,,0.0,2.113283334294875,yes_false
5,915,all,notGrouped,Shape,grouped,no,All of the squares are grey.,blue,blue,squares,,4,4,,0.0,2.521640636343318,yes_false
5,916,some,notGrouped,Color,grouped,no,Some of the stars are orange.,red,red,stars,,5,3,,0.0,2.4193819456463714,yes_false
5,917,all,notGrouped,Shape,grouped,no,All of the triangles are orange.,green,green,triangles,,3,4,,0.0,2.5,yes_false
5,918,some,notGrouped,Color,grouped,no,Some of the squares are brown.,red,red,squares,,4,5,,0.0,2.521640636343319,yes_false
5,919,all,notGrouped,Shape,grouped,no,All of the squares are purple.,red,red,squares,,5,5,,0.0,2.197159723424149,yes_false
5,920,some,notGrouped,Color,grouped,no,Some of the triangles are red.,orange,orange,triangles,,3,5,,0.0,2.75,yes_false
5,921,all,notGrouped,Shape,grouped,no,All of the squares are orange.,brown,brown,squares,,4,4,,0.0,2.7254805569978684,yes_false
5,922,some,notGrouped,Color,grouped,no,Some of the diamonds are red.,grey,grey,diamonds,,5,3,,0.0,2.25,yes_false
5,923,all,notGrouped,Shape,grouped,no,All of the diamonds are green.,brown,brown,diamonds,,3,4,,0.0,2.25,yes_false
5,924,some,notGrouped,Color,grouped,no,Some of the stars are yellow.,purple,purple,stars,,4,5,,0.0,2.521928094887363,yes_false
5,801,conjunction,colorGrouped,Shape,grouped,no,The brown squares and the red squares are grouped.,brown,red,squares,,3,4,,1.0,3.484183719779189,no
5,802,definiteP,notGrouped,Color,grouped,no,The circles are grouped.,blue,red,circles,,4,3,,0.8631205685666311,2.521640636343319,no
5,803,conjunction,randomGrouped,Shape,grouped,no,The red triangles and the orange triangles are grouped.,red,orange,triangles,,5,4,,0.7642045065086203,3.1552215288595122,no
6,901,all,notGrouped,Shape,grouped,no,All of the circles are yellow.,yellow,yellow,circles,,5,5,,0.0,2.5,yes_true
6,902,some,notGrouped,Color,grouped,no,Some of the stars are brown.,brown,red,stars,,3,5,,0.9182958340544894,2.7254805569978684,yes_true
6,903,all,notGrouped,Shape,grouped,no,All of the triangles are purple.,purple,purple,triangles,,4,4,,0.0,2.4193819456463714,yes_true
6,904,some,notGrouped,Color,grouped,no,Some of the squares are orange.,orange,green,squares,,5,3,,0.8631205685666311,2.521640636343318,yes_true
6,905,all,notGrouped,Shape,grouped,no,All of the squares are purple.,purple,purple,squares,,3,4,,0.0,2.4056390622295667,yes_true
6,906,some,notGrouped,Color,grouped,no,Some of the crosses are brown.,brown,purple,crosses,,4,5,,0.7219280948873623,3.121928094887363,yes_true
6,907,all,notGrouped,Shape,grouped,no,All of the diamonds are green.,green,green,diamonds,,5,5,,0.0,2.521640636343319,yes_true
6,908,some,notGrouped,Color,grouped,no,Some of the squares are grey.,grey,yellow,squares,,3,5,,0.9709505944546688,2.6464393446710157,yes_true
6,909,all,notGrouped,Shape,grouped,no,All of the squares are purple.,purple,purple,squares,,4,4,,0.0,2.807354922057605,yes_true
6,910,some,notGrouped,Color,grouped,no,Some of the stars are red.,red,brown,stars,,5,3,,0.9852281360342515,2.521640636343319,yes_true
6,911,all,notGrouped,Shape,grouped,no,All of the squares are blue.,blue,blue,squares,,3,4,,0.0,1.4488156357251847,yes_true
6,912,some,notGrouped,Color,grouped,no,Some of the crosses are blue.,blue,green,crosses,,4,5,,0.8631205685666311,2.521640636343319,yes_true
6,913,all,notGrouped,Shape,grouped,no,All of the squares are blue.,brown,brown,squares,,5,5,,0.0,2.4193819456463714,yes_false
6,914,some,notGrouped,Color,grouped,no,Some of the crosses are yellow.,brown,brown,crosses,,3,5,,0.0,2.4193819456463714,yes_false
6,915,all,notGrouped,Shape,grouped,no,All of the squares are orange.,brown,brown,squares,,4,4,,0.0,1.7924812503605783,yes_false
6,916,some,notGrouped,Color,grouped,no,Some of the diamonds are yellow.,blue,blue,diamonds,,5,3,,0.0,2.5,yes_false
6,917,all,notGrouped,Shape,grouped,no,All of the squares are red.,brown,brown,squares,,3,4,,0.0,3.121928094887363,yes_false
6,918,some,notGrouped,Color,grouped,no,Some of the squares are orange.,green,green,squares,,4,5,,0.0,2.251629167387823,yes_false
6,919,all,notGrouped,Shape,grouped,no,All of the circles are yellow.,red,red,circles,,5,5,,0.0,2.75,yes_false
6,920,some,notGrouped,Color,grouped,no,Some of the circles are blue.,red,red,circles,,3,5,,0.0,2.1556390622295667,yes_false
6,921,all,notGrouped,Shape,grouped,no,All of the crosses are brown.,red,red,crosses,,4,4,,0.0,2.251629167387823,yes_false
6,922,some,notGrouped,Color,grouped,no,Some of the crosses are green.,yellow,yellow,crosses,,5,3,,0.0,2.4464393446710155,yes_false
6,923,all,notGrouped,Shape,grouped,no,All of the diamonds are blue.,brown,brown,diamonds,,3,4,,0.0,2.9477027792200907,yes_false
6,924,some,notGrouped,Color,grouped,no,Some of the diamonds are red.,brown,brown,diamonds,,4,5,,0.0,2.251629167387823,yes_false
6,801,conjunction,colorGrouped,Shape,grouped,no,The blue squares and the purple squares are grouped.,blue,purple,squares,,3,4,,0.9957274520849256,3.392747410448785,no
6,802,definiteP,notGrouped,Color,grouped,no,The squares are grouped.,red,brown,squares,,4,3,,0.7642045065086203,2.7254805569978684,no
6,803,conjunction,randomGrouped,Shape,grouped,no,The blue diamonds and the brown diamonds are grouped.,blue,brown,diamonds,,5,4,,0.940285958670631,3.039148671903071,no
